2019-04-20 18:41:41,233 : env: Walker2d-v3
2019-04-20 18:41:41,234 : model: CONV
2019-04-20 18:41:41,234 : num_episodes: 100
2019-04-20 18:41:41,234 : max_episode_length: 100000
2019-04-20 18:41:41,234 : load_model_dir: trained_models/
2019-04-20 18:41:41,234 : log_dir: logs/
2019-04-20 18:41:41,234 : render: False
2019-04-20 18:41:41,234 : render_freq: 1
2019-04-20 18:41:41,234 : stack_frames: 1
2019-04-20 18:41:41,235 : new_gym_eval: False
2019-04-20 18:41:41,235 : seed: 1
2019-04-20 18:42:22,695 : Episode_length, 1000, reward_sum, 1176.1914751462689, reward_mean, 1139.5961
2019-04-20 18:42:23,689 : Episode_length, 1000, reward_sum, 1181.3463152102872, reward_mean, 1140.4659
2019-04-20 18:42:24,605 : Episode_length, 1000, reward_sum, 1187.5522486904904, reward_mean, 1141.4268
2019-04-20 18:42:25,512 : Episode_length, 1000, reward_sum, 1189.6483730501682, reward_mean, 1142.3913
2019-04-20 18:42:26,413 : Episode_length, 1000, reward_sum, 1172.7027770988605, reward_mean, 1142.9856
2019-04-20 18:42:27,320 : Episode_length, 1000, reward_sum, 1170.2385610604958, reward_mean, 1143.5097
2019-04-20 18:42:28,226 : Episode_length, 1000, reward_sum, 1193.8442321415184, reward_mean, 1144.4594
2019-04-20 18:42:29,135 : Episode_length, 1000, reward_sum, 1180.7186851393444, reward_mean, 1145.1309
2019-04-20 18:42:30,036 : Episode_length, 1000, reward_sum, 1199.636536564497, reward_mean, 1146.1219
2019-04-20 18:42:30,961 : Episode_length, 1000, reward_sum, 1188.3303630697994, reward_mean, 1146.8756
2019-04-20 18:42:31,861 : Episode_length, 1000, reward_sum, 1174.967907074445, reward_mean, 1147.3685
2019-04-20 18:42:32,145 : Episode_length, 308, reward_sum, 193.6409952380548, reward_mean, 1130.9249
2019-04-20 18:42:32,370 : Episode_length, 246, reward_sum, 133.23532776099657, reward_mean, 1114.0149
2019-04-20 18:42:33,272 : Episode_length, 1000, reward_sum, 1179.4069964692976, reward_mean, 1115.1048
2019-04-20 18:42:34,181 : Episode_length, 1000, reward_sum, 1171.5283473192428, reward_mean, 1116.0297
2019-04-20 18:42:35,090 : Episode_length, 1000, reward_sum, 1170.1339250864507, reward_mean, 1116.9024
2019-04-20 18:42:35,997 : Episode_length, 1000, reward_sum, 1196.8365902291464, reward_mean, 1118.1712
2019-04-20 18:42:36,901 : Episode_length, 1000, reward_sum, 1189.2145298444868, reward_mean, 1119.2812
2019-04-20 18:42:37,803 : Episode_length, 1000, reward_sum, 1188.1635323740027, reward_mean, 1120.3410
2019-04-20 18:42:38,708 : Episode_length, 1000, reward_sum, 1187.3730820430972, reward_mean, 1121.3566
2019-04-20 18:42:39,613 : Episode_length, 1000, reward_sum, 1191.132835734398, reward_mean, 1122.3980
2019-04-20 18:42:40,519 : Episode_length, 1000, reward_sum, 1179.7802461677916, reward_mean, 1123.2419
2019-04-20 18:42:41,419 : Episode_length, 1000, reward_sum, 1181.8921513193836, reward_mean, 1124.0919
2019-04-20 18:42:42,323 : Episode_length, 1000, reward_sum, 1193.1717317147854, reward_mean, 1125.0788
2019-04-20 18:42:42,549 : Episode_length, 241, reward_sum, 126.92574737279125, reward_mean, 1111.0203
2019-04-20 18:42:43,454 : Episode_length, 1000, reward_sum, 1170.1526218056636, reward_mean, 1111.8415
2019-04-20 18:42:44,375 : Episode_length, 1000, reward_sum, 1193.2750451283346, reward_mean, 1112.9571
2019-04-20 18:42:45,285 : Episode_length, 1000, reward_sum, 1172.6843039130206, reward_mean, 1113.7642
2019-04-20 18:42:46,194 : Episode_length, 1000, reward_sum, 1185.730943825823, reward_mean, 1114.7238
2019-04-20 18:42:47,099 : Episode_length, 1000, reward_sum, 1196.7424739858793, reward_mean, 1115.8029
2019-04-20 18:42:47,366 : Episode_length, 290, reward_sum, 176.72447211031, reward_mean, 1103.6071
2019-04-20 18:42:48,272 : Episode_length, 1000, reward_sum, 1188.0556285915127, reward_mean, 1104.6898
2019-04-20 18:42:49,178 : Episode_length, 1000, reward_sum, 1180.802953606218, reward_mean, 1105.6533
2019-04-20 18:42:50,114 : Episode_length, 1000, reward_sum, 1182.190004853341, reward_mean, 1106.6100
2019-04-20 18:42:50,412 : Episode_length, 267, reward_sum, 153.5463239381492, reward_mean, 1094.8437
2019-04-20 18:42:51,334 : Episode_length, 1000, reward_sum, 1180.6143656375048, reward_mean, 1095.8897
2019-04-20 18:42:52,239 : Episode_length, 1000, reward_sum, 1178.3785080642513, reward_mean, 1096.8836
2019-04-20 18:42:52,468 : Episode_length, 245, reward_sum, 131.66100364946396, reward_mean, 1085.3928
2019-04-20 18:42:53,366 : Episode_length, 1000, reward_sum, 1178.3320994549247, reward_mean, 1086.4862
2019-04-20 18:42:54,268 : Episode_length, 1000, reward_sum, 1169.148845840009, reward_mean, 1087.4474
2019-04-20 18:42:55,170 : Episode_length, 1000, reward_sum, 1185.8270143628338, reward_mean, 1088.5782
2019-04-20 18:42:56,074 : Episode_length, 1000, reward_sum, 1170.4778718433543, reward_mean, 1089.5089
2019-04-20 18:42:56,978 : Episode_length, 1000, reward_sum, 1185.968990967971, reward_mean, 1090.5927
2019-04-20 18:42:57,879 : Episode_length, 1000, reward_sum, 1184.9076320283075, reward_mean, 1091.6407
